dataset,max_loaded_at,sla_hours
stg_finance_000,2023-01-05T08:50:42Z,24
stg_customers_001,2023-01-05T02:50:42Z,48
stg_finance_002,2023-01-04T22:50:42Z,24
stg_marketing_003,2023-01-05T21:50:42Z,24
stg_customers_004,2023-01-05T21:50:42Z,24
stg_orders_005,2023-01-04T00:50:42Z,72
stg_orders_006,2023-01-04T23:50:42Z,24
stg_products_007,2023-01-04T13:50:42Z,72
stg_finance_008,2023-01-04T10:50:42Z,48
stg_orders_009,2023-01-05T15:50:42Z,24
stg_orders_010,2023-01-05T01:50:42Z,24
stg_marketing_011,2023-01-04T07:50:42Z,48
stg_customers_012,2023-01-03T19:50:42Z,72
stg_products_013,2023-01-04T17:50:42Z,48
stg_customers_014,2023-01-05T12:50:42Z,72
stg_products_015,2023-01-05T11:50:42Z,24
stg_marketing_016,2023-01-03T06:50:42Z,72
stg_products_017,2023-01-05T21:50:42Z,24
stg_customers_018,2023-01-03T23:50:42Z,48
stg_marketing_019,2023-01-04T17:50:42Z,48
stg_orders_020,2023-01-05T16:50:42Z,48
stg_customers_021,2023-01-05T17:50:42Z,72
stg_marketing_022,2023-01-05T03:50:42Z,24
stg_finance_023,2023-01-04T17:50:42Z,24
stg_finance_024,2023-01-04T21:50:42Z,72
stg_finance_025,2023-01-05T06:50:42Z,24
stg_customers_026,2023-01-04T09:50:42Z,48
stg_marketing_027,2023-01-05T02:50:42Z,72
stg_products_028,2023-01-05T00:50:42Z,24
stg_orders_029,2023-01-05T00:50:42Z,24
stg_finance_030,2023-01-04T11:50:42Z,48
stg_finance_031,2023-01-05T09:50:42Z,24
stg_marketing_032,2023-01-05T17:50:42Z,72
stg_marketing_033,2023-01-05T01:50:42Z,24
stg_marketing_034,2023-01-04T19:50:42Z,48
stg_orders_035,2023-01-04T06:50:42Z,72
stg_orders_036,2023-01-04T06:50:42Z,72
stg_customers_037,2023-01-04T03:50:42Z,48
stg_customers_038,2023-01-04T23:50:42Z,48
stg_orders_039,2023-01-05T15:50:42Z,24
stg_products_040,2023-01-04T15:50:42Z,48
stg_orders_041,2023-01-03T08:50:42Z,72
stg_orders_042,2023-01-04T17:50:42Z,48
stg_products_043,2023-01-05T20:50:42Z,48
stg_products_044,2023-01-03T18:50:42Z,72
stg_orders_045,2023-01-04T23:50:42Z,24
stg_marketing_046,2023-01-04T05:50:42Z,24
stg_finance_047,2023-01-04T16:50:42Z,48
stg_orders_048,2023-01-05T21:50:42Z,48
stg_orders_049,2023-01-05T08:50:42Z,72
mart_orders_000,2023-01-05T01:50:42Z,48
mart_products_001,2023-01-04T09:50:42Z,48
mart_orders_002,2023-01-03T12:50:42Z,72
mart_finance_003,2023-01-04T04:50:42Z,48
mart_products_004,2023-01-04T17:50:42Z,48
mart_marketing_005,2023-01-03T08:50:42Z,72
mart_orders_006,2023-01-05T04:50:42Z,24
mart_marketing_007,2023-01-05T11:50:42Z,24
mart_orders_008,2023-01-05T06:50:42Z,24
mart_orders_009,2023-01-05T01:50:42Z,24
mart_orders_010,2023-01-03T10:50:42Z,72
mart_orders_011,2023-01-05T12:50:42Z,24
mart_orders_012,2023-01-03T02:50:42Z,72
mart_orders_013,2023-01-03T00:50:42Z,48
mart_customers_014,2023-01-04T19:50:42Z,48
mart_finance_015,2023-01-02T10:50:42Z,48
mart_finance_016,2023-01-03T22:50:42Z,48
mart_products_017,2023-01-05T01:50:42Z,72
mart_customers_018,2023-01-04T23:50:42Z,24
mart_products_019,2023-01-03T23:50:42Z,24
mart_marketing_020,2023-01-05T11:50:42Z,72
mart_marketing_021,2023-01-04T07:50:42Z,48
mart_products_022,2023-01-05T03:50:42Z,24
mart_products_023,2023-01-05T03:50:42Z,72
mart_finance_024,2023-01-02T15:50:42Z,72
mart_customers_025,2023-01-04T21:50:42Z,48
mart_marketing_026,2023-01-04T22:50:42Z,48
mart_finance_027,2023-01-05T03:50:42Z,24
mart_finance_028,2023-01-05T05:50:42Z,24
mart_customers_029,2023-01-03T14:50:42Z,72
