cluster_id,title,why,gap_types,datasets,severity,effort
c_0001,"Address access_denied, grain_or_type_mismatch, missing_dataset_or_column, performance_limi",Clustered user questions indicate a recurring data gap to address.,access_denied;grain_or_type_mismatch;missing_dataset_or_column;performance_limit;semantics_unclear,,M,M
c_0031,Address data gap for stg_orders_039,Clustered user questions indicate a recurring data gap to address.,,stg_orders_039,M,M
c_0003,"Address freshness_breach, missing_dataset_or_column for unspecified dataset",Clustered user questions indicate a recurring data gap to address.,freshness_breach;missing_dataset_or_column,,M,M
c_0005,"Address access_denied, missing_dataset_or_column, performance_limit for unspecified datase",Clustered user questions indicate a recurring data gap to address.,access_denied;missing_dataset_or_column;performance_limit,,M,M
c_0007,Address freshness_breach for unspecified dataset,Clustered user questions indicate a recurring data gap to address.,freshness_breach,,M,M
c_0002,Address data gap for mart_finance_027,Clustered user questions indicate a recurring data gap to address.,,mart_finance_027,M,M
c_0004,Address data gap for stg_products_013,Clustered user questions indicate a recurring data gap to address.,,stg_products_013,M,M
c_0006,Address data gap for stg_orders_010,Clustered user questions indicate a recurring data gap to address.,,stg_orders_010,M,M
c_0008,Address missing_dataset_or_column for unspecified dataset,Clustered user questions indicate a recurring data gap to address.,missing_dataset_or_column,,M,M
c_0009,Address missing_dataset_or_column for unspecified dataset,Clustered user questions indicate a recurring data gap to address.,missing_dataset_or_column,,M,M
c_0010,Address data gap for mart_products_023,Clustered user questions indicate a recurring data gap to address.,,mart_products_023,M,M
c_0011,Address data gap for mart_products_023,Clustered user questions indicate a recurring data gap to address.,,mart_products_023,M,M
c_0012,Address data gap for mart_finance_003,Clustered user questions indicate a recurring data gap to address.,,mart_finance_003,M,M
c_0013,Address data gap for stg_orders_045,Clustered user questions indicate a recurring data gap to address.,,stg_orders_045,M,M
c_0014,Address semantics_unclear for unspecified dataset,Clustered user questions indicate a recurring data gap to address.,semantics_unclear,,M,M
c_0015,Address missing_dataset_or_column for unspecified dataset,Clustered user questions indicate a recurring data gap to address.,missing_dataset_or_column,,M,M
c_0016,Address data gap for unspecified dataset,Clustered user questions indicate a recurring data gap to address.,,,M,M
c_0017,Address missing_dataset_or_column for unspecified dataset,Clustered user questions indicate a recurring data gap to address.,missing_dataset_or_column,,M,M
c_0018,Address data gap for mart_orders_013,Clustered user questions indicate a recurring data gap to address.,,mart_orders_013,M,M
c_0019,"Address data gap for stg_finance_023, stg_orders_048",Clustered user questions indicate a recurring data gap to address.,,stg_finance_023;stg_orders_048,M,M
c_0020,Address grain_or_type_mismatch for unspecified dataset,Clustered user questions indicate a recurring data gap to address.,grain_or_type_mismatch,,M,M
c_0021,"Address data gap for mart_orders_012, stg_customers_014",Clustered user questions indicate a recurring data gap to address.,,mart_orders_012;stg_customers_014,M,M
c_0022,Address missing_dataset_or_column for unspecified dataset,Clustered user questions indicate a recurring data gap to address.,missing_dataset_or_column,,M,M
c_0023,Address data gap for mart_marketing_007,Clustered user questions indicate a recurring data gap to address.,,mart_marketing_007,M,M
c_0024,Address data gap for stg_marketing_019,Clustered user questions indicate a recurring data gap to address.,,stg_marketing_019,M,M
c_0025,Address data gap for stg_orders_029,Clustered user questions indicate a recurring data gap to address.,,stg_orders_029,M,M
c_0026,Address data gap for stg_products_028,Clustered user questions indicate a recurring data gap to address.,,stg_products_028,M,M
c_0027,Address data gap for unspecified dataset,Clustered user questions indicate a recurring data gap to address.,,,M,M
c_0028,Address data gap for stg_orders_029,Clustered user questions indicate a recurring data gap to address.,,stg_orders_029,M,M
c_0029,Address data gap for mart_orders_008,Clustered user questions indicate a recurring data gap to address.,,mart_orders_008,M,M
c_0030,Address data gap for stg_orders_041,Clustered user questions indicate a recurring data gap to address.,,stg_orders_041,M,M
