dataset,max_loaded_at,sla_hours
stg_customers_000,2025-09-24T23:59:27Z,72
stg_customers_001,2025-09-25T13:59:27Z,48
stg_products_002,2025-09-26T03:59:27Z,24
stg_finance_003,2025-09-26T04:59:27Z,24
stg_products_004,2025-09-26T21:59:27Z,72
stg_products_005,2025-09-26T23:59:27Z,24
stg_products_006,2025-09-26T15:59:27Z,48
stg_marketing_007,2025-09-26T02:59:27Z,24
stg_customers_008,2025-09-26T07:59:27Z,24
stg_customers_009,2025-09-25T06:59:27Z,72
stg_finance_010,2025-09-26T16:59:27Z,24
stg_marketing_011,2025-09-26T08:59:27Z,72
stg_orders_012,2025-09-26T05:59:27Z,24
stg_customers_013,2025-09-24T04:59:27Z,72
stg_customers_014,2025-09-23T02:59:27Z,48
stg_products_015,2025-09-25T03:59:27Z,72
stg_products_016,2025-09-25T07:59:27Z,48
stg_customers_017,2025-09-21T07:59:27Z,72
stg_products_018,2025-09-26T11:59:27Z,24
stg_marketing_019,2025-09-23T00:59:27Z,24
stg_finance_020,2025-09-26T11:59:27Z,72
stg_marketing_021,2025-09-26T04:59:27Z,48
stg_products_022,2025-09-25T03:59:27Z,48
stg_orders_023,2025-09-24T22:59:27Z,72
stg_finance_024,2025-09-26T15:59:27Z,24
stg_finance_025,2025-09-25T14:59:27Z,24
stg_marketing_026,2025-09-26T02:59:27Z,24
stg_orders_027,2025-09-24T11:59:27Z,72
stg_finance_028,2025-09-25T08:59:27Z,24
stg_orders_029,2025-09-26T14:59:27Z,24
stg_customers_030,2025-09-24T03:59:27Z,72
stg_products_031,2025-09-24T04:59:27Z,72
stg_customers_032,2025-09-26T23:59:27Z,48
stg_products_033,2025-09-25T20:59:27Z,72
stg_products_034,2025-09-26T17:59:27Z,48
stg_marketing_035,2025-09-23T23:59:27Z,48
stg_products_036,2025-09-24T06:59:27Z,72
stg_marketing_037,2025-09-26T00:59:27Z,24
stg_marketing_038,2025-09-25T04:59:27Z,72
stg_products_039,2025-09-20T23:59:27Z,72
stg_products_040,2025-09-24T20:59:27Z,72
stg_finance_041,2025-09-26T12:59:27Z,24
stg_customers_042,2025-09-26T12:59:27Z,24
stg_marketing_043,2025-09-26T04:59:27Z,72
stg_orders_044,2025-09-26T15:59:27Z,24
stg_orders_045,2025-09-24T12:59:27Z,24
stg_customers_046,2025-09-22T10:59:27Z,48
stg_finance_047,2025-09-23T23:59:27Z,24
stg_finance_048,2025-09-25T18:59:27Z,72
stg_orders_049,2025-09-26T10:59:27Z,48
mart_marketing_000,2025-09-26T06:59:27Z,24
mart_orders_001,2025-09-26T16:59:27Z,72
mart_customers_002,2025-09-25T10:59:27Z,72
mart_orders_003,2025-09-26T00:59:27Z,24
mart_marketing_004,2025-09-26T22:59:27Z,48
mart_orders_005,2025-09-25T09:59:27Z,72
mart_finance_006,2025-09-25T22:59:27Z,72
mart_products_007,2025-09-26T11:59:27Z,48
mart_finance_008,2025-09-25T00:59:27Z,48
mart_finance_009,2025-09-25T10:59:27Z,48
mart_customers_010,2025-09-25T07:59:27Z,72
mart_finance_011,2025-09-26T15:59:27Z,24
mart_products_012,2025-09-24T19:59:27Z,72
mart_finance_013,2025-09-25T09:59:27Z,72
mart_products_014,2025-09-25T11:59:27Z,72
mart_marketing_015,2025-09-26T01:59:27Z,24
mart_marketing_016,2025-09-26T11:59:27Z,48
mart_orders_017,2025-09-26T14:59:27Z,24
mart_marketing_018,2025-09-24T16:59:27Z,72
mart_products_019,2025-09-26T21:59:27Z,24
mart_orders_020,2025-09-26T10:59:27Z,48
mart_finance_021,2025-09-26T03:59:27Z,48
mart_finance_022,2025-09-25T12:59:27Z,72
mart_products_023,2025-09-26T22:59:27Z,24
mart_marketing_024,2025-09-26T02:59:27Z,24
mart_marketing_025,2025-09-26T10:59:27Z,48
mart_products_026,2025-09-23T17:59:27Z,24
mart_marketing_027,2025-09-25T05:59:27Z,48
mart_orders_028,2025-09-23T04:59:27Z,24
mart_orders_029,2025-09-26T04:59:27Z,48
